Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Total_Productive_Hours,Is_Overworked,Free_Time,Study_Productive_Ratio
6.9,3.8,8.7,2.8,1.8,2.99,1,12.5,0,0.0,0.5519999558400036
5.3,3.5,8.0,4.2,3.0,2.75,0,11.8,0,0.0,0.4491525043091098
5.1,3.9,9.2,1.2,4.6,2.67,0,13.6,0,3.552713678800501e-15,0.3749999724264726
6.5,2.1,7.2,1.7,6.5,2.88,1,15.1,0,0.0,0.4304635476514207
8.1,0.6,6.5,2.2,6.6,3.51,2,15.299999999999999,0,3.552713678800501e-15,0.5294117301038085
6.0,2.1,8.0,0.3,7.6,2.85,1,15.7,0,0.0,0.3821655807537847
8.0,0.7,5.3,5.7,4.3,3.08,2,13.0,0,0.0,0.615384568047341
8.4,1.8,5.6,3.0,5.2,3.2,2,15.400000000000002,0,0.0,0.5454545100354214
5.2,3.6,6.3,4.0,4.9,2.82,0,13.700000000000001,0,0.0,0.3795620160903638
7.7,0.7,9.8,4.5,1.3,2.76,1,9.7,0,0.0,0.7938143511531598
9.7,3.6,8.0,2.5,0.2,3.43,2,13.499999999999998,0,0.0,0.7185184652949286
6.9,1.1,9.1,2.1,4.8,2.97,1,12.799999999999999,0,0.0,0.5390624578857456
6.4,2.2,5.7,4.8,4.9,2.82,2,13.5,1,0.0,0.4740740389574786
5.0,3.3,8.5,4.4,2.8,2.87,0,11.1,0,0.0,0.4504504098693325
8.9,0.3,6.8,0.7,7.3,3.4,2,16.5,0,0.0,0.5393939067033996
6.7,0.3,6.6,2.0,8.4,3.2,1,15.400000000000002,0,0.0,0.4350649068139671
8.6,2.6,9.4,1.6,1.8,3.36,2,13.0,0,0.0,0.6615384106508915
8.8,2.2,8.9,2.0,2.1,3.19,2,13.100000000000001,0,0.0,0.6717556739117806
7.6,1.7,5.1,0.6,9.0,3.16,2,18.3,0,0.0,0.4153005237540697
6.6,2.0,9.5,1.5,4.4,2.93,1,13.0,0,0.0,0.5076922686390563
7.1,3.0,6.1,0.5,7.3,2.9,1,17.4,0,0.0,0.4080459535605774
9.6,3.2,8.2,2.6,0.4,3.34,2,13.2,0,0.0,0.7272726721763128
9.0,0.7,9.5,2.6,2.2,3.21,2,11.899999999999999,0,0.0,0.7563024574535752
6.1,1.7,9.1,5.2,1.9,2.85,1,9.7,0,3.552713678800501e-15,0.6288659145499058
5.0,2.0,7.1,1.3,8.6,2.68,0,15.6,0,0.0,0.3205127999671282
9.7,1.3,7.6,3.8,1.6,3.29,2,12.6,0,0.0,0.7698412087427612
6.8,3.9,9.8,0.9,2.6,2.64,1,13.3,0,0.0,0.511278157046755
6.4,0.1,8.0,3.0,6.5,2.95,1,13.0,0,0.0,0.4923076544378728
5.3,1.1,9.5,1.4,6.7,2.79,0,13.1,0,0.0,0.40458012178777697
9.9,1.0,8.4,3.6,1.1,3.25,2,12.0,0,0.0,0.8249999312500058
6.2,2.9,6.8,3.8,4.3,3.05,1,13.4,0,0.0,0.46268653263533344
5.5,3.3,6.6,1.1,7.5,3.26,0,16.3,0,0.0,0.33742329218262007
5.2,2.4,8.4,0.1,7.9,2.47,0,15.500000000000002,0,0.0,0.33548384932362263
8.2,0.7,8.5,2.3,4.3,3.24,2,13.2,0,0.0,0.6212120741506004
9.7,0.6,6.7,0.7,6.3,3.62,2,16.6,0,3.552713678800501e-15,0.5843373141965472
9.1,2.2,7.6,1.2,3.9,3.12,2,15.2,0,0.0,0.5986841711391993
5.5,3.6,9.5,3.4,2.0,2.58,0,11.1,0,0.0,0.49549545085626573
8.6,3.6,9.4,1.9,0.5,3.03,2,12.7,0,0.0,0.6771653010106062
8.2,0.3,5.8,5.4,4.3,3.29,2,12.8,0,0.0,0.6406249499511757
5.0,0.6,7.7,4.2,6.5,2.61,0,12.1,0,0.0,0.4132231063451979
8.3,0.9,8.6,1.4,4.8,3.48,2,14.000000000000002,0,0.0,0.5928571005102071
8.2,3.4,8.3,2.3,1.8,3.07,2,13.4,1,0.0,0.6119402528402796
5.5,1.5,6.3,1.5,9.2,2.81,0,16.2,0,0.0,0.3395061518823363
